epoch,accuracy,loss,val_accuracy,val_loss
0,0.19942499697208405,2.100796699523926,0.26089999079704285,1.9701077938079834
1,0.24742500483989716,1.9969605207443237,0.296999990940094,1.9028689861297607
2,0.26875001192092896,1.9657000303268433,0.31220000982284546,1.8954691886901855
3,0.27889999747276306,1.944753885269165,0.3084000051021576,1.868893027305603
4,0.28610000014305115,1.9344712495803833,0.3188999891281128,1.9149610996246338
5,0.29065001010894775,1.9286279678344727,0.3483000099658966,1.8657777309417725
6,0.2918750047683716,1.9265246391296387,0.36039999127388,1.8608940839767456
7,0.2935500144958496,1.9190398454666138,0.32179999351501465,1.8944494724273682
8,0.2957249879837036,1.917490839958191,0.32589998841285706,1.9029501676559448
9,0.2992999851703644,1.910984992980957,0.31119999289512634,1.8881570100784302
10,0.29829999804496765,1.9099087715148926,0.31850001215934753,1.8938703536987305
11,0.29967498779296875,1.9014109373092651,0.32269999384880066,1.8794548511505127
12,0.3001500070095062,1.9018065929412842,0.33970001339912415,1.869398593902588
13,0.30630001425743103,1.8958629369735718,0.328900009393692,1.8694835901260376
14,0.31072500348091125,1.8898344039916992,0.3346000015735626,1.8645517826080322
15,0.3079499900341034,1.8877166509628296,0.3319000005722046,1.8651827573776245
16,0.30994999408721924,1.8795444965362549,0.3504999876022339,1.8413679599761963
17,0.31095001101493835,1.8803579807281494,0.33980000019073486,1.8481236696243286
18,0.31107500195503235,1.8837970495224,0.34869998693466187,1.821852207183838
19,0.31782498955726624,1.8696101903915405,0.35370001196861267,1.8259220123291016
