epoch,accuracy,loss,val_accuracy,val_loss
0,0.45202499628067017,1.6130902767181396,0.45489999651908875,1.9121484756469727
1,0.5687749981880188,1.235934853553772,0.6425999999046326,1.086457371711731
2,0.6257749795913696,1.0803300142288208,0.5882999897003174,1.3914777040481567
3,0.6554499864578247,0.9857680797576904,0.7013000249862671,0.8668478727340698
4,0.6843249797821045,0.9174275398254395,0.6786999702453613,0.9643842577934265
5,0.7068250179290771,0.8511389493942261,0.7293999791145325,0.8056020736694336
6,0.722000002861023,0.8022121787071228,0.6898999810218811,0.922810435295105
7,0.7365000247955322,0.7561889886856079,0.7265999913215637,0.8434951305389404
8,0.7530750036239624,0.7176150679588318,0.7702000141143799,0.7002633213996887
9,0.760574996471405,0.6926137208938599,0.7530999779701233,0.7415025234222412
10,0.7742499709129333,0.6634055376052856,0.7495999932289124,0.7285873889923096
11,0.7756249904632568,0.6559450626373291,0.7906000018119812,0.6141564249992371
12,0.7867500185966492,0.6261703968048096,0.805400013923645,0.5779253840446472
13,0.7942500114440918,0.6037872433662415,0.7832000255584717,0.6363838315010071
14,0.7969499826431274,0.5913518071174622,0.7767999768257141,0.6889349222183228
15,0.8019000291824341,0.5767011642456055,0.8133000135421753,0.5422249436378479
16,0.8087000250816345,0.563755452632904,0.8210999965667725,0.5111914277076721
17,0.8112499713897705,0.5513675808906555,0.8234000205993652,0.519098162651062
18,0.8169000148773193,0.5374498963356018,0.828000009059906,0.5241063237190247
19,0.8199250102043152,0.5280759930610657,0.8162999749183655,0.5369507074356079
20,0.8199750185012817,0.5197777152061462,0.8260999917984009,0.49602076411247253
21,0.8234249949455261,0.5162464380264282,0.8396000266075134,0.4743596613407135
22,0.8302000164985657,0.5003108382225037,0.810699999332428,0.5705943703651428
23,0.8313249945640564,0.4959494173526764,0.8373000025749207,0.49949827790260315
24,0.8331249952316284,0.48485639691352844,0.8442999720573425,0.4750053286552429
25,0.8367499709129333,0.48243212699890137,0.7965999841690063,0.6479143500328064
